family	u	v	class	C	actual	predicted	z
BR	0	7	generic	1.1387	39	38.94	0.010
BR	0	8	generic	1.3478	36	46.09	-1.486
BR	0	9	generic	1.2773	45	43.68	0.200
BR	1	0	reducible	0.0525	0	1.79	-1.340
BR	1	1	reducible	0.0525	0	1.79	-1.340
BR	1	2	generic	1.9463	65	66.56	-0.191
BR	1	3	reducible	0.3446	0	11.78	-3.433
BR	1	4	generic	1.5642	53	53.49	-0.068
BR	1	5	generic	1.1482	38	39.26	-0.202
BR	1	6	generic	1.1261	37	38.51	-0.243
BR	1	7	generic	1.2864	43	43.99	-0.149
BR	1	8	generic	1.1407	40	39.01	0.158
BR	1	9	generic	1.4104	47	48.23	-0.177
BR	2	0	reducible	0.3863	0	13.21	-3.635
BR	2	1	reducible	0.0560	0	1.91	-1.384
BR	2	2	reducible	0.3863	0	13.21	-3.635
BR	2	3	reducible	0.3717	0	12.71	-3.566
BR	2	4	generic	1.6394	50	56.07	-0.810
BR	2	5	generic	1.5006	57	51.32	0.793
BR	2	6	generic	1.3036	41	44.58	-0.537
BR	2	7	generic	1.3372	45	45.74	-0.109
BR	2	8	reducible	0.2637	0	9.02	-3.003
BR	2	9	generic	1.2546	48	42.91	0.777
BR	3	0	reducible	0.3046	0	10.42	-3.228
BR	3	1	generic	1.9126	67	65.42	0.196
BR	3	2	generic	1.9126	63	65.42	-0.299
BR	3	3	reducible	0.3046	0	10.42	-3.228
BR	3	4	reducible	0.3950	0	13.51	-3.676
BR	3	5	reducible	0.0472	0	1.62	-1.271
BR	3	6	generic	1.6409	57	56.13	0.117
BR	3	7	generic	1.3962	49	47.76	0.180
BR	3	8	generic	1.1393	34	38.97	-0.796
BR	3	9	generic	1.3168	49	45.04	0.590
BR	4	0	reducible	0.2899	0	9.92	-3.149
BR	4	1	generic	1.7641	58	60.35	-0.302
BR	4	2	reducible	0.0420	0	1.44	-1.198
BR	4	3	generic	1.7641	53	60.35	-0.946
BR	4	4	reducible	0.2899	0	9.92	-3.149
BR	4	5	generic	1.7162	54	58.71	-0.614
BR	4	6	generic	1.9110	58	65.37	-0.912
BR	4	7	reducible	0.0346	0	1.18	-1.088
BR	4	8	generic	1.6405	56	56.12	-0.016
BR	4	9	generic	1.3821	49	47.28	0.250
BR	5	0	reducible	0.2178	0	7.45	-2.730
BR	5	1	generic	1.5777	49	53.98	-0.677
BR	5	2	generic	1.4692	44	50.26	-0.883
BR	5	3	generic	1.4692	57	50.26	0.950
BR	5	4	generic	1.5777	62	53.98	1.092
BR	5	5	reducible	0.2178	0	7.45	-2.730
BR	5	6	reducible	0.3520	0	12.04	-3.470
BR	5	7	generic	1.6743	56	57.28	-0.169
BR	5	8	generic	1.7256	60	59.04	0.125
BR	5	9	reducible	0.3099	0	10.60	-3.256
BR	6	0	reducible	0.0562	0	1.92	-1.387
BR	6	1	generic	1.2249	38	41.91	-0.604
BR	6	2	generic	1.5616	59	53.43	0.762
BR	6	3	reducible	0.3770	0	12.90	-3.591
